DEC,HEX,Alpha Tag,Mode,Description,Tag,Group,Priority,Stream List
2733,aad,SgrLnd FD 3,D,Fire 3,Fire-Talk,Fort Bend County - Sugar Land,1,
2735,aaf,SgrLnd FD Su,D,Fire Supervisors,Fire-Talk,Fort Bend County - Sugar Land,1,
2737,ab1,SgrLnd FD Ta,D,Fire Tactical 1,Fire-Tac,Fort Bend County - Sugar Land,1,
2739,ab3,SgrLnd PD 1,D,Police 1,Law Dispatch,Fort Bend County - Sugar Land,1,
2741,ab5,SgrLnd PD 2,D,Police 2,Law Talk,Fort Bend County - Sugar Land,1,
2743,ab7,SgrLnd PD 3,D,Police 3,Law Talk,Fort Bend County - Sugar Land,1,
2745,ab9,SgrLnd PD 4,D,Police 4 Secure,Law Talk,Fort Bend County - Sugar Land,1,
2747,abb,SgrLnd PD 5,D,Police 5,Law Talk,Fort Bend County - Sugar Land,1,
2749,abd,SgrLnd PD CI,D,Police CID,Law Talk,Fort Bend County - Sugar Land,1,
2751,abf,SgrLnd PD Su,D,Police Supervisors,Law Talk,Fort Bend County - Sugar Land,1,
2730,aaa,SgrLnd PD TR,D,Police Training,Law Talk,Fort Bend County - Sugar Land,1,
2753,ac1,SgrLnd PDTac,D,Police Tactical 1,Law Tac,Fort Bend County - Sugar Land,1,
1718,6b6,SgrLndA/p Mx,D,Airport Maintenance,Public Works,Fort Bend County - Sugar Land,1,
1752,6d8,SgrLndA/p Op,D,Airport Operations,Public Works,Fort Bend County - Sugar Land,1,
2787,ae3,SgrLndCommon,D,City Common,Interop,Fort Bend County - Sugar Land,1,
2755,ac3,SgrLndPDSWAT,D,Police SWAT,Law Tac,Fort Bend County - Sugar Land,1,
127,07f,Sheld ISD PD,D,Sheldon Independent School District Police,Law Dispatch,Harris County - Schools,1,
2154,86a,Shen PD Supv,D,Shenandoah Police Supervisors,Law Talk,Montgomery County - Communities,1,
2150,866,ShenandoahPD,D,Shenandoah Police (dispatched on MCSO 2),Law Tac,Montgomery County - Communities,1,
2152,868,ShenanPubWrk,DE,Shenandoah Public Works,Public Works,Montgomery County - Communities,1,
1586,632,SHSU PD 2,D,Police Ch 2,Law Tac,Walker County - Sam Houston State University,1,
1146,47a,SHSU PD Disp,D,Police Dispatch,Law Dispatch,Walker County - Sam Houston State University,1,
1342,53e,SHSU PD Emerg,D,Police Emergency Revert,Law Tac,Walker County - Sam Houston State University,1,
838,346,SJ EMS Disp,D,Dispatch,EMS Dispatch,Brazos Valley - St. Joseph EMS,1,
840,348,SJ EMS Tac 1,D,Tactical 1,EMS-Tac,Brazos Valley - St. Joseph EMS,1,
842,34a,SJ EMS Tac 2,D,Tactical 2,EMS-Tac,Brazos Valley - St. Joseph EMS,1,
38770,9772,SJC PD 1,T,San Jacinto College Police 1,Law Dispatch,College and University,1,
38771,9773,SJC PD 2,T,San Jacinto College Police 2,Law Tac,College and University,1,
38773,9775,SJC PD Supv,T,San Jacinto College Police Supervisors,Law Talk,College and University,1,
38772,9774,SJC PD Tac,T,San Jacinto College Police Tactical,Law Tac,College and University,1,
2238,8be,SJCSO 1,D,Sheriff 1,Law Dispatch,San Jacinto County (FUTURE USE),1,
1794,702,SJCSO 2,D,Sheriff 2,Law Tac,San Jacinto County (FUTURE USE),1,
1730,6c2,SJCSO Admin1,D,Sheriff Administration 1,Law Talk,San Jacinto County (FUTURE USE),1,
1726,6be,SJCSO Admin2,D,Sheriff Administration 2,Law Talk,San Jacinto County (FUTURE USE),1,
1738,6ca,SJCSO Detect,D,Sheriff Detective,Law Tac,San Jacinto County (FUTURE USE),1,
1734,6c6,SJCSO Jail 1,D,Sheriff Jail 1,Corrections,San Jacinto County (FUTURE USE),1,
1744,6d0,SJCSO Ops 1,D,Sheriff Operations 1,Law Tac,San Jacinto County (FUTURE USE),1,
1828,724,SJCSO Ops 2,D,Sheriff Operations 2,Law Tac,San Jacinto County (FUTURE USE),1,
1786,6fa,SJCSO PTU,D,Sheriff PTU,Law Tac,San Jacinto County (FUTURE USE),1,
1739,6cb,SJCSO SIU,D,Sheriff SIU,Law Tac,San Jacinto County (FUTURE USE),1,
1746,6d2,SJCSO Tac,D,Sheriff Tactical,Law Tac,San Jacinto County (FUTURE USE),1,
1792,700,SJCSO Talk 1,D,Sheriff Talk 1,Law Talk,San Jacinto County (FUTURE USE),1,
1796,704,SJCSO Talk 2,D,Sheriff Talk 2,Law Talk,San Jacinto County (FUTURE USE),1,
3700,e74,Smith Co Constab,D,Constable,Law Tac,Smith County,1,
3699,e73,Smith Co DA,D,District Attorney,Law Tac,Smith County,1,
3721,e89,Smith Co EOC 1,D,Emergency Operations Center 1,Emergency Ops,Smith County,1,
3722,e8a,Smith Co EOC 2,D,Emergency Operations Center 2,Emergency Ops,Smith County,1,
3703,e77,Smith Co F Marsh,D,Fire Marshal,Law Tac,Smith County,1,
3698,e72,Smith Co Roads,D,Road and Bridge,Public Works,Smith County,1,
3702,e76,Smith Co Travel,D,Travel,Public Works,Smith County,1,
3747,ea3,Smith Co VFD Adm,D,Volunteer Fire Department Admin,Fire-Talk,Smith County,1,
3704,e78,Smith Co VFD Dis,D,Volunteer Fire Department Dispatch,Fire Dispatch,Smith County,1,
3694,e6e,Smith SO Admin,D,Sheriff Administration,Law Talk,Smith County,1,
3693,e6d,Smith SO CID,D,Sheriff CID,Law Tac,Smith County,1,
3690,e6a,Smith SO Disp,D,Sheriff Dispatch,Law Dispatch,Smith County,1,
3723,e8b,Smith SO EOC 3,D,Emergency Operations Center 3,Emergency Ops,Smith County,1,
3692,e6c,Smith SO Info,D,Sheriff Information,Law Tac,Smith County,1,
3691,e6b,Smith SO Jail,D,Jail,Corrections,Smith County,1,
3695,e6f,Smith SO Juvenil,D,Sheriff Juvenile,Corrections,Smith County,1,
3696,e70,Smith SO SWAT,D,Sheriff SWAT,Law Tac,Smith County,1,
3697,e71,Smith SO Vice,D,Sheriff Vice,Law Tac,Smith County,1,
3633,e31,SoHou FD 2,T,Fire 2,Fire-Talk,Harris County - South Houston,1,
3637,e35,SoHouEMSDisp,T,EMS Dispatch,EMS Dispatch,Harris County - South Houston,1,
3631,e2f,SoHouFD Tac1,T,Fire Tactical 1,Fire-Tac,Harris County - South Houston,1,
3635,e33,SoHouFD Tac2,T,Fire Tactical 2,Fire-Tac,Harris County - South Houston,1,
3629,e2d,SoHouFD1Disp,T,Fire 1 Dispatch,Fire Dispatch,Harris County - South Houston,1,
1821,71d,SoHouPD Gang,T,Police Gangs,Law Tac,Harris County - South Houston,1,
1805,70d,SoHouPD1 Disp,T,Police Ch. 1 Dispatch,Law Dispatch,Harris County - South Houston,1,
1807,70f,SoHouPD2 Sec,T,Police Ch. 2 Secondary,Law Tac,Harris County - South Houston,1,
1809,711,SoHouPD3 C-C,T,Police Ch. 3 Car-to-Car,Law Talk,Harris County - South Houston,1,
1813,715,SoHouPD5 Narc,T,Police Ch. 5 Narcotics,Law Tac,Harris County - South Houston,1,
1815,717,SoHouPD6 Det,T,Police Ch. 6 Detectives,Law Tac,Harris County - South Houston,1,
1817,719,SoHouPD7 Supv,T,Police Ch. 7 Supervisors,Law Talk,Harris County - South Houston,1,
1819,71b,SoHouPDAnnou,T,Police Announcement,Law Tac,Harris County - South Houston,1,
2902,b56,Somerville Event,D,Event 1,Multi-Tac,Burleson County - Somerville,1,
2898,b52,Somerville PD 1,D,Police Tac 1,Law Tac,Burleson County - Somerville,1,
2900,b54,Somerville PD 2,D,Police Tac 2,Law Tac,Burleson County - Somerville,1,
3611,e1b,SoutheastVFD,D,Southeast Volunteer Fire Department,Fire Dispatch,Harris County Volunteer Fire/EMS,1,
33575,8327,Southside FD,T,Fire,Fire Dispatch,Harris County - Southside Place,1,
33570,8322,Southside PD,T,Police,Law Dispatch,Harris County - Southside Place,1,
33576,8328,SouthsideFD2,TE,Fire 2,Fire-Tac,Harris County - Southside Place,1,
33571,8323,SouthsidePD2,TE,Police 2,Law Tac,Harris County - Southside Place,1,
220,0dc,SP WARN 1,D,SP WARN 1,Interop,Special Events,1,
264,108,SP WARN 10,D,SP WARN 10,Interop,Special Events,1,
